pat num,JJ num,V_sam [uV],V_sam err [uV],R_printed [Ohms],R_calc [Ohms],Vmon (uV),Rbias (Ohms)
3B,1,7.35,0.07,80,782,949,100200
3B,2,8.02,0.105,87,854,949,100200
3B,3,7.63,0.081,83,812,949,100200
3B,4,8.53,0.026,92,909,949,100200
3B,5,7.74,0.078,84,824,949,100200
3B,6,7.95,0.264,86,846,949,100200
3B,7,6.81,0.074,74,724,949,100200
3B,8,7.9,0.39,86,841,949,100200
3B,9,9.04,0.642,98,964,949,100200
3B,10,8.15,0.066,88,868,949,100200
3B,11,8.02,0.15,87,854,949,100200
3B,12,7.16,0.173,77,762,949,100200
3B,13,8.24,0.175,89,878,949,100200
3B,14,7.51,0.042,81,799,949,100200
3B,15,6.87,0.042,74,731,949,100200
3B,16,6.68,0.119,72,710,949,100200
3C,1,5.59,0.023,60,594,949,100200
3C,2,5.88,0.024,64,625,949,100200
3C,3,6.18,0.011,67,657,949,100200
3C,4,6.47,0.023,70,688,949,100200
3C,5,6.13,0.023,66,651,949,100200
3C,6,6,0.697,65,638,949,100200
3C,7,6.43,0.083,70,684,949,100200
3C,8,6.67,0.186,72,709,949,100200
3C,9,7.28,0.226,79,775,949,100200
3C,10,6.82,0.165,74,725,949,100200
3C,11,6.66,0.1,72,708,949,100200
3C,12,6.32,0.187,68,672,949,100200
3C,13,6.35,0.047,69,675,949,100200
3C,14,5.85,0.139,63,622,949,100200
3C,15,5.45,0.07,59,579,949,100200
3C,16,5.25,0.185,57,557,949,100200
3F,1,42.01,0.205,472,472,949,10200
3F,2,42.49,0.08,478,478,949,10200
3F,3,44.75,0.157,504,505,949,10200
3F,4,47.35,0.115,535,536,949,10200
3F,5,44.82,0.027,505,506,949,10200
3F,6,46.14,0.081,521,521,949,10200
3F,7,49,0.044,555,555,949,10200
3F,8,50.47,0.045,572,573,949,10200
3F,9,50.88,0.048,577,578,949,10200
3F,10,48.01,0.019,543,544,949,10200
3F,11,45.88,0.104,518,518,949,10200
3F,12,44.73,0.047,504,505,949,10200
3F,13,46.09,0.088,520,521,949,10200
3F,14,43.01,0.071,484,484,949,10200
3F,15,39.14,0.051,438,439,949,10200
3F,16,36.92,0.041,412,413,949,10200
