pat num,JJ num,V_sam [uV],V_sam err [uV],R_printed [Ohms],R_calc [Ohms],Vmon (uV),Rbias (Ohms),Date_probed (dmmyy)
3B,1,7.35,0.07,80,782,949,100200,81319
3B,2,8.02,0.105,87,854,949,100200,81319
3B,3,7.63,0.081,83,812,949,100200,81319
3B,4,8.53,0.026,92,909,949,100200,81319
3B,5,7.74,0.078,84,824,949,100200,81319
3B,6,7.95,0.264,86,846,949,100200,81319
3B,7,6.81,0.074,74,724,949,100200,81319
3B,8,7.9,0.39,86,841,949,100200,81319
3B,9,9.04,0.642,98,964,949,100200,81319
3B,10,8.15,0.066,88,868,949,100200,81319
3B,11,8.02,0.15,87,854,949,100200,81319
3B,12,7.16,0.173,77,762,949,100200,81319
3B,13,8.24,0.175,89,878,949,100200,81319
3B,14,7.51,0.042,81,799,949,100200,81319
3B,15,6.87,0.042,74,731,949,100200,81319
3B,16,6.68,0.119,72,710,949,100200,81319
3C,1,5.59,0.023,60,594,949,100200,81319
3C,2,5.88,0.024,64,625,949,100200,81319
3C,3,6.18,0.011,67,657,949,100200,81319
3C,4,6.47,0.023,70,688,949,100200,81319
3C,5,6.13,0.023,66,651,949,100200,81319
3C,6,6,0.697,65,638,949,100200,81319
3C,7,6.43,0.083,70,684,949,100200,81319
3C,8,6.67,0.186,72,709,949,100200,81319
3C,9,7.28,0.226,79,775,949,100200,81319
3C,10,6.82,0.165,74,725,949,100200,81319
3C,11,6.66,0.1,72,708,949,100200,81319
3C,12,6.32,0.187,68,672,949,100200,81319
3C,13,6.35,0.047,69,675,949,100200,81319
3C,14,5.85,0.139,63,622,949,100200,81319
3C,15,5.45,0.07,59,579,949,100200,81319
3C,16,5.25,0.185,57,557,949,100200,81319
3F,1,42.01,0.205,472,472,949,10200,81319
3F,2,42.49,0.08,478,478,949,10200,81319
3F,3,44.75,0.157,504,505,949,10200,81319
3F,4,47.35,0.115,535,536,949,10200,81319
3F,5,44.82,0.027,505,506,949,10200,81319
3F,6,46.14,0.081,521,521,949,10200,81319
3F,7,49,0.044,555,555,949,10200,81319
3F,8,50.47,0.045,572,573,949,10200,81319
3F,9,50.88,0.048,577,578,949,10200,81319
3F,10,48.01,0.019,543,544,949,10200,81319
3F,11,45.88,0.104,518,518,949,10200,81319
3F,12,44.73,0.047,504,505,949,10200,81319
3F,13,46.09,0.088,520,521,949,10200,81319
3F,14,43.01,0.071,484,484,949,10200,81319
3F,15,39.14,0.051,438,439,949,10200,81319
3F,16,36.92,0.041,412,413,949,10200,81319
4A,1,81.75,0.015,951,959,951,10200,81919
4A,2,82.74,0.012,963,972,951,10200,81919
4A,3,99,0.015,1175,1185,951,10200,81919
4A,4,91.25,0.019,1073,1083,951,10200,81919
4A,5,85.29,0.016,996,1005,951,10200,81919
4A,6,88.33,0.021,1035,1044,951,10200,81919
4A,7,89.77,0.023,1054,1063,951,10200,81919
4A,8,85.32,0.017,997,1005,951,10200,81919
4A,9,89.82,0.009,1054,1064,951,10200,81919
4A,10,94.58,0.009,1117,1126,951,10200,81919
4A,11,87.54,0.023,1025,1034,951,10200,81919
4A,12,82.92,0.014,966,974,951,10200,81919
4A,13,85.63,0.006,1000,1009,951,10200,81919
4A,14,79.75,0.024,926,934,951,10200,81919
4A,15,80.38,0.008,933,942,951,10200,81919
4A,16,73.18,0.027,843,850,951,10200,81919
4B,1,63.53,0.024,724,730,951,10200,81919
4B,2,64.48,0.013,735,742,951,10200,81919
4B,3,68.39,0.016,783,790,951,10200,81919
4B,4,71.6,0.01,823,830,951,10200,81919
4B,5,69.15,0.018,793,800,951,10200,81919
4B,6,69.18,0.006,793,800,951,10200,81919
4B,7,69.38,0.019,796,803,951,10200,81919
4B,8,71.62,0.01,823,831,951,10200,81919
4B,9,74.14,0.017,855,862,951,10200,81919
4B,10,69.66,0.009,799,806,951,10200,81919
4B,11,66.31,0.013,758,765,951,10200,81919
4B,12,66.06,0.024,755,761,951,10200,81919
4B,13,68.41,0.012,784,791,951,10200,81919
4B,14,63.89,0.008,728,735,951,10200,81919
4B,15,60.82,0.005,691,697,951,10200,81919
4B,16,59.09,0.031,670,676,951,10200,81919
4C,1,57.08,0.045,646,651,951,10200,81919
4C,2,59.13,0.038,670,676,951,10200,81919
4C,3,58.93,0.076,668,674,951,10200,81919
4C,4,61.49,0.239,699,705,951,10200,81919
4C,5,59.9,0.173,680,686,951,10200,81919
4C,6,61.03,0.138,693,699,951,10200,81919
4C,7,64.18,0.084,732,738,951,10200,81919
4C,8,64.27,0.194,733,739,951,10200,81919
4C,9,65.12,0.141,743,750,951,10200,81919
4C,10,63.23,0.083,720,726,951,10200,81919
4C,11,60.5,0.014,687,693,951,10200,81919
4C,12,59.22,0.021,671,677,951,10200,81919
